SUID,univid,response
2695,5c9e7d6034cda4f3677e6b19,Internationality
2695,5c9e638234cda4f3677e5051,Specialization
1289,5e84b8a01ead1a77be3bd3a8,Soft skills and digital literacy
1289,5c9e470b34cda4f3677e2ec5,Soft skills and digital literacy
1289,5c9e470a34cda4f3677e2ec3,Soft skills and digital literacy
1289,5c9e6b2334cda4f3677e5c47,Soft skills and digital literacy
1289,5c9e4e1334cda4f3677e3a3f,Soft skills and digital literacy
1289,5c9e8ca934cda4f3677e74cd,Soft skills and digital literacy
1289,5c9e638a34cda4f3677e505d,Soft skills and digital literacy
1289,5c9e3e0234cda4f3677e2009,Internationality
1289,5c9e3fa734cda4f3677e22b9,Internationality
3040,5c9e70bd34cda4f3677e621f,Soft skills and digital literacy
3040,5c9e7c8b34cda4f3677e69b5,Internationality
3040,5c9e355834cda4f3677e11d9,Specialization
3040,5c9e4b4134cda4f3677e35a9,Soft skills and digital literacy
3040,5c9e7ea034cda4f3677e6d1b,Practical relevance / professionalization
3040,5c9e638a34cda4f3677e505d,Specialization
3040,5c9e5a7e34cda4f3677e418b,Internationality
3040,5c9e410934cda4f3677e24f1,Specialization
3040,5c9e3e0234cda4f3677e2009,Academic excellence
3040,5c9e3fa734cda4f3677e22b9,Specialization
3040,5c9e638234cda4f3677e5051,Specialization
3040,5c9e3ab234cda4f3677e1a9b,Specialization
3040,5c9e501934cda4f3677e3d99,Academic excellence
3040,5c9e7e3f34cda4f3677e6c81,Internationality
1881,5c9e7a6834cda4f3677e662b,Internationality
1881,5c9e498134cda4f3677e32c9,Soft skills and digital literacy
1881,5c9e67c234cda4f3677e56bf,Soft skills and digital literacy
1881,5c9e3a5934cda4f3677e1a09,Practical relevance / professionalization
1881,5c9e361e34cda4f3677e131d,Specialization
1881,5e8c8c5623d6684db014ea41,Specialization
1864,5c9e70bd34cda4f3677e621f,Internationality
1864,5c9e645734cda4f3677e51ab,Practical relevance / professionalization
631,5c9e7d8334cda4f3677e6b4f,Soft skills and digital literacy
631,5c9e88f634cda4f3677e70a3,Internationality
631,5c9e38d734cda4f3677e1795,Practical relevance / professionalization
631,5c9e616734cda4f3677e4ce7,Practical relevance / professionalization
631,5c9e471734cda4f3677e2ed7,Specialization
631,5c9e470a34cda4f3677e2ec3,Academic excellence
631,5c9e3ffb34cda4f3677e233b,Practical relevance / professionalization
631,5c9e4f5034cda4f3677e3c4f,Soft skills and digital literacy
631,5c9e7d3134cda4f3677e6ac9,Internationality
631,5c9e7cb934cda4f3677e69ff,Specialization
631,5c9e636734cda4f3677e5027,Academic excellence
631,5c9e61c234cda4f3677e4d7b,Academic excellence
631,5c9e3a5934cda4f3677e1a09,Internationality
631,5c9e37ba34cda4f3677e15bf,Internationality
631,5c9e4c6234cda4f3677e378d,Specialization
631,5c9e61ba34cda4f3677e4d6d,Internationality
865,5c9e3ceb34cda4f3677e1e3d,Soft skills and digital literacy
865,5c9e3d8a34cda4f3677e1f43,Soft skills and digital literacy
865,5c9e3aec34cda4f3677e1af9,Internationality
865,5c9e3abf34cda4f3677e1ab1,Soft skills and digital literacy
865,5e84a9f41ead1a77be3bd385,Practical relevance / professionalization
865,5e84a9f41ead1a77be3bd385,Practical relevance / professionalization
865,5c9e37ba34cda4f3677e15bf,Specialization
865,5c9e4c6234cda4f3677e378d,Specialization
865,5c9e49df34cda4f3677e3365,Academic excellence
865,5c9e5c9634cda4f3677e44fb,Specialization
865,5c9e7c2034cda4f3677e6901,Specialization
865,5c9e636a34cda4f3677e502b,Specialization
2263,5e8c6df1dc39552aa1e7bdf3,Soft skills and digital literacy
2263,5c9e41e234cda4f3677e264d,Practical relevance / professionalization
2263,5c9e60b534cda4f3677e4bbf,Practical relevance / professionalization
